Text,Category,Gender,Comment React Number,Label
"আওয়ামী লীগ স্বৈরাচারী সরকার যতো দিন ক্ষমতায় থাকবে, ততো দিন এই রকম হত্যাকান্ড ঘটবে। তাই জনগণকে সঙ্গে নিয়ে আওয়ামী লীগের পতন ঘটাবো ইনশাআল্লাহ",Politician,male,1,Hate Speech
ঘরে বসে শুট করতে কেমন লেগেছে? ক্যামেরাতে কে ছিলেন?,Singer,Male,2,Neutral
"অরে বাবা, এই টা কোন পাগল????",Actor,Female,2,Neutral
১লক্ষ ৬হাজার মামলা নিয়ে ৩৬ লক্ষ নেতা কর্মীরা ১৪ বছর ধরে মাথা উঁচু করে দাড়িয়ে থাকা দলটির নাম বাংলাদেশ জাতীয়তাবাদী দল বিএনপি।,Politician,Male,1,Neutral
যানবাহন বন্ধ করার পরও যদি এরকম সমাবেশের লোক হয় তাহলে কে খারাপ কে ভালো সেটা জনগণের প্রকাশ করতে চাই,Politician,Male,3,Harassment
অন্যরকম .. ভালো লাগলো ..❤️,Singer,Male,1,Neutral
সাংবাদিক ভাইদের বলছি এই সংবাদ গুলি প্রচার না করলেই নয় কি?আর এই সব ৪ থ গ্রেডের অভিনেত্রী অভিনেতা দের আপনারা জনপ্রিয় শব্দটা কেন ব্যবহার করছেন।এরা কি জনপ্রিয়? এরা কাস্টিং কাউচের সুযোগে অভিনেত্রী বা অভিনেতা। প্লিজ তেলবাজি নিউজ আর এদের ইম্পোরটেন্ট দেয়া বন্ধ করুন।,Actor,Female,9,Harassment
মোহাম্মদ কফিল উদ্দীন মাহমুদ,Actor,Female,0,Neutral
ঢাকায় এত ঘনো ঘনো আগুন লাগার মূল কারন টা এতদিনে জানতে পারলাম..এই সবই আল্লাহর গজব..ফাবি আইয়ে আলায়ে রাব্বি কুমাতু কায্জিবান,Actor,Female,4,Hate Speech
"হিরো আলম তুমি এগিয়ে চলো, আমরা আছি তোমার সাথে।",Social,Male,0,Neutral
"খানকিরা এইটা জানলে,তুই খানকি বিত্তি কিভাবে করতি???আর আল্লাহতায়ালা জাহান্নাম কিসের জন্য বানাইছে??তোদের মতো খানকি+নাস্তিকদের জন্যই...",Actor,Female,26,Hate Speech
"বাতাসে অক্সিজেন, আর তোর নিঃশ্বাস যখন বন্ধ হতে থাকবে তখন সবই বিশ্বাস করবিরে কুলঙ্গার। কি তখন আর কোন উপায় থাকবে না। যেমন উপায় ছিল না কাফের ফেরাউনের।",Actor,Female,0,Hate Speech
জয় বাংলা।জয় বঙ্গবন্ধু।,Politician,Male,3,Neutral
রমজান মাসে এমনে ও নিরব থাকা দরকার। সেই সুবাধে কিছু বললাম না।,Actor,Female,0,Neutral
ওই সবাই চুপ।অসভ্যের দল।তোমরা জাননা মিথিলে আমাকে কানে কানে বলে গেছে ওর নিচে এখন লকডাউন।।,Actor,Female,1,Neutral
