review_group,Text,Label,tfidf_pred,bert_pred,manual_verdict
both_wrong_same_label,"সেই প্রথম টিভির পর্দায় দেখার সময় তোর কথার ভং আর চলাচলে বুঝছিলাম তুই খুব অহংকারী, গরবি হবি,তোর নাটক ত দেখিই না এখন থেকে সলিটভাবে না দেখার চেস্টা করব,তোদের মত সেলিব্রিটির আমার বালের সাথে গিট্টু লাগিয়ে রাখি,তোকে এক রাত চুদার জন্য চাই,রেট জানিয়ে দিস কত নিবি,একটা নাটকের চাইতেও ভাল ডিমান্ড দিব।।",Harassment,Sexual Aggression,Sexual Aggression,
both_wrong_same_label,আপনার জানালা জে সবসময় খোলা থাকে সেটা সবাই জানে।বয়স হয়েছে এখন জানালা বন্ধ রাখার চেষ্টা করেন,Neutral,Sexual Aggression,Sexual Aggression,
both_wrong_same_label,"বাবু তুমি তো আমার ক্রাশ ছিলা,তুমি যে এতো বড় খানকি সেটা তো আমি জানতাম নাআজকে থেকে ক্রাশ কেটে গেছে",Neutral,Sexual Aggression,Sexual Aggression,
both_wrong_same_label,তোরে জীবন্ত কবর দেওয়া উচিত।,Hate Speech,Violent Extremism,Violent Extremism,
both_wrong_same_label,কলিজার টুকরা কুত্তা ভাইওয়াট এ ক্যাপশনজাতি শিহরিত এইটা দেখে,Neutral,Harassment,Harassment,
both_wrong_same_label,তাদের বিচার চাই,Neutral,Violent Extremism,Violent Extremism,
both_wrong_same_label,দাদা আসসালামু আলাইকুম আমার বাড়ি রংপুরে আমি আপনার একজন প্রানপ্রিয় ভক্ত আপনার সব ভিডিও দেখি অনেকে খারাপ মন্তব্য করে আপনি যে সব মানুষ কে খারাপ বলেন তা না যাড়া ভালো তাদেরকে ভালোই বলেন আপনার সব থেকে একটা বড় গুন হলো মানুষের পেছনে সমালোচনা করেন না সে যেই হোক মুখের ওপর বলেন বাস্তব জীবনে দেখা হয়তো নাও হতে পারে যদি আমার সাথে ফোনে এক মিনিট কথা বলতেন একজন ভক্ত হিসেবে সাথক হতাম আমার ফোন নাম্বার ০১৭১১১৪২৮৯৯,Sexual Aggression,Neutral,Neutral,
both_wrong_same_label,ফাতরামি একটা সীমা থাকা উচিত হিরো আলম থেকে মানুষ কি শিখবে এর কোন অ্যাঙ্গেল টা বলেন তো একটু ভালো একে যারা সাপোর্ট করে তারা একটু বলেন যে ভাই এই দিক দিয়ে খুব ভালো লোক,Harassment,Neutral,Neutral,
both_wrong_same_label,নুতুবেল,Sexual Aggression,Harassment,Harassment,
both_wrong_same_label,শুভেচ্চা সেনবাগ নোয়খালী র পক্ষ্য থেকে,Harassment,Neutral,Neutral,
both_wrong_same_label,তর নাটক তুই দেখ মাগি তরে সেফুদার কুত্তা দিয়া চুদায়।ওই নাস্তিক মাগি তুউ ত তর বাপের বিচি ও দেহস নায় তাইলে তুই কইতে হয়লি???,Sexual Aggression,Hate Speech,Hate Speech,
both_wrong_same_label,বাঙালীদের হাজার হাজার লাখ লাখ গালি খেয়ে টিকে থাকার নাম ই Safa Kabir,Neutral,Harassment,Harassment,
both_wrong_same_label,বইন টিকা নেওয়া হয়নি এই মাসে?,Harassment,Neutral,Neutral,
both_wrong_same_label,টাঙ্গাইলের চমচমবগুড়ার দইঢাকা থেকে ডিল মারলাম নুনুর বিচি সইকেমন দিলাম বন্ডুরা,Harassment,Sexual Aggression,Sexual Aggression,
both_wrong_same_label,"সাফা তার একটা কথাই তার সম্পুর্ন ক্যারিয়ার নষ্ট করে দিলো,,,,!",Neutral,Harassment,Harassment,
both_wrong_same_label,ছবি তোলাও শেষ ধান কাটাও শেষ,Harassment,Neutral,Neutral,
both_wrong_same_label,"হায়রে কপাল। দেশভাগের গল্প দিচ্ছে। হাস্যকর। মানুষের কথা বাদ দিলাম, আমার পরিচিত বহু হিন্দু ছোট ভাই বোন পরিবার সমেত আমেরিকা পাড়ি দিয়েছে গত কয়েক বছরে। তারা কি বিতারিত না নির্যাতিত কোনটা?",Violent Extremism,Neutral,Neutral,
both_wrong_same_label,শালা মর আগে বুঝবি,Harassment,Violent Extremism,Violent Extremism,
both_wrong_same_label,ওনি জন্মের পর ওনার বাবাকে দেকেননি ও চিনেনওনা তাই ওনার খুব,Neutral,Harassment,Harassment,
both_wrong_same_label,"অসভ্য , ইতর ও শুওর ছানায় দেশ ভরপুর । অতএব শুওরছানারা যা কিছু মেনে চলে ও বিশ্বাষ করে তা আপনাকেও মেনে চলতে হবে ।",Violent Extremism,Harassment,Harassment,
both_wrong_same_label,আঙ্কেল আমি কখন দিয়ে দিছি।রেসাল্ট কখন দিবেন? অনেক অপেক্ষা করতেছি।,Harassment,Neutral,Neutral,
both_wrong_same_label,"কালাম্মা তুমি নাকি পরকাল বিশ্বাস কর না,,,ওই বোকা চুদা কয় কি,,,তাহলে তোর বাপের বিচি আছে সেটা বিশ্বাস করলি কি করে,,তোর বাপের তো বিচি দেখসনাই কখনো,,কারণ তোই তো যা চোখে দেখসনা তা বিশ্বাস করস না...তোর বাপের বিচি কয়টা রে!!!সালী পুন মাইরা গাছের উপর তোলে রাখমু!",Harassment,Sexual Aggression,Sexual Aggression,
both_wrong_same_label,এসব ক্যাপশন দিয়ে-মাগিত্য লুকানো যায়নারে জাহান্নমী পাপী,Hate Speech,Sexual Aggression,Sexual Aggression,
both_wrong_same_label,অবাক হয়ে তাকিয়ে রই...!!প্রিয় তোমার পাছা কই...!!!সালমান কি করলি দাদো।,Neutral,Sexual Aggression,Sexual Aggression,
both_wrong_same_label,অাজ থেকে তোর সকল নাটক চাওয়া বন্ধ।,Neutral,Violent Extremism,Violent Extremism,
both_wrong_same_label,"আল্লাহপাক চরম কাফের কেও কাফের বলতে নিষেধ করেছেন কারন মরনের আগে যদি অই কাফের আল্লাহ ও রাসুল সাল্লাল লাহু আলাইহে ওয়াসাল্লাম এর উপর ঈমান আনে তাহলে যারা কাফেরকে কাফের ডেকেছিল তারাই গুনাহগার হবে। কাজেই সাফা কবির কি বলেছে তা নিয়ে কা কা না করে আমি পরিপূর্ণ ঈমানদার কিনা যাচাই করি। আর আল্লাহর দরবারে প্রারথনা করি যেন আল্লাহ সাফাকবিরকে সঠিক ঈমানি জ্ঞান দান করেন, হেদায়েত দান করেন। আর হাদিসে আছে যে অপরের পাপের কথা গোপন রাখবে কাল কিয়ামতের ময়দানে আল্লাহ তার পাপও গোপন রাখবেন।",Harassment,Hate Speech,Hate Speech,
both_wrong_same_label,"তর জন্ম কিভাবে হইচে তা কেই দেখে নাই,,, তাহলে আমারা কি ধরে নিব তুই ****",Sexual Aggression,Harassment,Harassment,
both_wrong_same_label,অনেক পাগলামি করেছিলো। রাস্তা ঘাটে চেচা-মেচি করতো অামার সাথে দেখা করার জন্যে। শেষমেশ বুঝতে পারলাম সব কিছুই ছিল নাটকের রিয়াকসেল। হাহাহাহা,Neutral,Harassment,Harassment,
both_wrong_same_label,ধর্ষণ রোধে প্রতি ইউনিয়নে পতিতালয় চালু করা হোক,Neutral,Sexual Aggression,Sexual Aggression,
both_wrong_same_label,এদের জুতা মেরে দেশ থেকে বিতাড়িত করা উচিৎ,Hate Speech,Violent Extremism,Violent Extremism,
both_wrong_same_label,"এরা হলো বেশ্যা, বাংলা ভাষা এদের পরিচয় ,Abdur Rohim",Harassment,Sexual Aggression,Sexual Aggression,
both_wrong_same_label,ফাঁসি চাই,Neutral,Violent Extremism,Violent Extremism,
both_wrong_same_label,সে কি করল তা নিয়ে দেখছি পাবলিকের মাথা খারাপ।তার যা ভাললাগ সে তা বলুক তাতে আমাদের কি ওর পরকাল নিয়ে।,Neutral,Hate Speech,Hate Speech,
both_wrong_same_label,সবাই দেখি নস্টা মেয়ে সাফা কবিরকে নিয়ে কমেন্ট করতেছেন।ভাল হলেও মুরগী চোরের মেয়ে আর কত ভাল হবে?ফিল্ম জগতটাই বেইশ্যাদের দখলে।সে কত ভাল হবে,Sexual Aggression,Harassment,Harassment,
both_wrong_same_label,তোমার হাসি ভালোবাসি,Harassment,Neutral,Neutral,
both_wrong_same_label,রবীন্দ্র রেও ছাড়লো না,Sexual Aggression,Neutral,Neutral,
both_wrong_same_label,তাহলে রাতে আমার থেকে ইমু নাম্বার চায় কেনো?,Harassment,Neutral,Neutral,
both_wrong_same_label,কৃষক লীগের কাউকে দেখা যাচ্ছেনা,Harassment,Neutral,Neutral,
both_wrong_same_label,সালি তুই কি মরবি না,Hate Speech,Harassment,Harassment,
both_wrong_same_label,"অামার মনে হয় সাপা কবির একজন হিজড়া। উনার নিচের অংশ দেখি নাই, তাই অামার ডাউট অাছে এতে",Harassment,Sexual Aggression,Sexual Aggression,
both_wrong_same_label,এল্লাগাই তুই বারোবাতারি,Harassment,Sexual Aggression,Sexual Aggression,
both_wrong_same_label,অশ্লীল সুন্দর,Sexual Aggression,Neutral,Neutral,
both_wrong_same_label,তর চেহারাটা কুত্তার মত।তরে মনডাই কইতাছে জুতা দিয়া পিটাই।।,Harassment,Violent Extremism,Violent Extremism,
both_wrong_same_label,"সাফার কবিরের উদ্দেশ্যে--""আপনি কি আপনার মা-বাবাকে যৌণ সঙ্গম করতে দেখেছেন?না দেখে কিভাবে উনাদেরকে মা বাবা মেনে নিচ্ছেন??আপনার মা কে জিজ্ঞাস করে নিয়েন যাকে আপনি বাবা ডাকছেন উনি আপনার আসল বাবা কিনা,নাকি অন্য কেউ আছে??কারণ আপনিতো না দেখে কিছু বিশ্বাস করেন নাহ।",Harassment,Sexual Aggression,Sexual Aggression,
both_wrong_same_label,"মিয়া খলিফাকে শাড়ী পড়ালে কিন্ত এর চেয়ে কম সুন্দর দেখাবেনা, পোশাকে নয় তার আচরন, কাজে তার পরিচয়। জনগন তোমার পরিচয় জানে। তুমি চেহারা বিক্রি করেছ, তোমার রুপ সৌন্দর্য আর কত বছর থাকবে? মানুষ আজও হিটলারকে মনে রেখেছে,আর তুমিও পাবলিকের মনে থাকবে :(",Sexual Aggression,Harassment,Harassment,
both_wrong_same_label,"আচ্ছা, শাফা খবিশ কুত্তা নাকি কুত্তি ওরে তো কখনো উলঙ্গ দেখি নাই,আমরা না দেখে কিভাবে বিশ্বাস করবো ও কুত্তি",Sexual Aggression,Harassment,Harassment,
both_wrong_same_label,ওদের হয়তো প্রয়োজন ফুরিয়ে গেছে । তাঁরা ভেবেছে যে মেয়েটা এত আবদার করেছে তাই দুই একটা সিনেমায় অভিনয় করিয়ে সোজা ঢাকার রাস্তা দেখিয়ে ফেয়ারওয়েল আয়োজন করেছে,Neutral,Harassment,Harassment,
both_wrong_same_label,"ডিয়ার এডমিন, আপনি জানেন কি একটি গোলাকার গাছের ৪ পাশ দিয়ে ঘন্টায় ৮০ কিঃ মিঃ বেগে দৌড়াইলে আপনি নিজের পুটকি নিজে মারতে পারবেন..?",Harassment,Sexual Aggression,Sexual Aggression,
both_wrong_same_label,আগে তুই মর তার পর বুঝবি পরকাল কত পোকার এবং কি কি,Hate Speech,Violent Extremism,Violent Extremism,
both_wrong_same_label,এখানো তো আমরা চাউল চোরদের কন্ট্রোল করতে পারলাম না।করোনা কি ভাবে কন্ট্রোল করবো।,Neutral,Harassment,Harassment,
both_wrong_different_label,"বাবা শাহরিয়ার কবির, মা খুসি কবির, ছেলে জন কবির,মেয়ে সাফা কবির।",Neutral,Sexual Aggression,Harassment,
both_wrong_different_label,"বাইন চুদ তোর জন্য অনেক কথা শুনতে হয় অন্য অন্য দেশের মানুষের কাছে,,, বলে বাংলাদেশে আর কি হবে, তোদের দেশের নায়ক হিরো আলম....",Harassment,Neutral,Sexual Aggression,
both_wrong_different_label,"আসসালামু মালাইকুম ও রহমতুল্লাহ বারাকা,নায়েব আলী ভাই ভালো আছেন,এগুলার মা বাবার ই ইসলামি শিক্ষা নাই। মেয়ে কোথা থেকে শিখবে,,,,",Sexual Aggression,Neutral,Hate Speech,
both_wrong_different_label,এদের জ্ঞান দাও প্রভু।,Hate Speech,Harassment,Neutral,
both_wrong_different_label,কত খেলা যে খেল্লা তুমি...ইন্ডিয়া যাইয়া ত' শেষ কইরা ফেলছ জীবনডা...রমজানে আইসা পর্দা বাহ বাহ....,Hate Speech,Sexual Aggression,Harassment,
both_wrong_different_label,ওর জানাজা হবে না,Hate Speech,Harassment,Violent Extremism,
both_wrong_different_label,"এরা মানুষ না,,,,,,,,,,,, এদের জন্ম ঠিক নাই,,,,",Neutral,Hate Speech,Harassment,
both_wrong_different_label,আইচ্ছা ভাবির পরনে কি প্যান্ট আছে,Sexual Aggression,Harassment,Neutral,
both_wrong_different_label,ঢাকার জাস্ট ফ্রেন্ডগুলোরে দুদু খাওয়াতে গেছে,Neutral,Sexual Aggression,Harassment,
both_wrong_different_label,মনে রাখবেন যারা মিডিয়ায় কাজ করে এদের ৯৯% হলো জাফর ইকবালের ভক্ত এদের মধ্যে ইসলামের ব্যাপারে শুধুই বিদ্বেশ আছে। দয়া করে সকলেই রিপোর্ট করুন,Harassment,Violent Extremism,Hate Speech,
both_wrong_different_label,কয় বার খাইস????,Sexual Aggression,Neutral,Harassment,
both_wrong_different_label,মিথিলার পোস্ট দেখা মানে আমার আবার Covid-18 চেক করা!!,Harassment,Neutral,Sexual Aggression,
both_wrong_different_label,আজ ডেটল দিয়ে পরিষ্কার করছি।,Neutral,Violent Extremism,Sexual Aggression,
both_wrong_different_label,"উনি সেই আমল থেকেই গ্ৰুপ সেক্সে মত্ত ছিল,ভাবা যায় এগুলো!",Sexual Aggression,Neutral,Harassment,
both_wrong_different_label,ইফতারের পর ছবি uplode করবা বাবু....,Sexual Aggression,Harassment,Neutral,
both_wrong_different_label,"যখন অন্যায়, অবিচার, জুলুম,অশ্লীলতা, নগ্নতা, পাপাচার বেড়ে যায়, তখন আল্লাহর রহমত পৃথিবী থেকে উঠে যায়. আল্লাহ তায়ালা তখন নানা ধরনের বিপর্যয় দিয়ে মানুষকে সতর্ক করেন. মহান আল্লাহর ঘোষণা "" তোমাদের উপর যে বিপদ-আপদ আসে তা তোমাদের হাতের কামাই. আর অনেক অপরাধ তো তিনিই ক্ষমা করে দেন. ( সূরা- আশ শূরাঃ ৩০). আমরা আল্লাহর রহমত চাই. করুণা চাই. ক্ষমা চাই.. এহেন দুরারোগ্য ব্যধি থেকে মুক্তি চাই./ একমাত্র আল্লাহ ই সকল রোগের নিরাময়কারী.করোনা ভাইরাস (কোভিড-১৯) প্রতিরোধে বাংলাদেশ সরকারের যথাযথ উদ্যোগ নিতে হবে. দেশের প্রবেশ পথ সমূহে করোনা ভাইরাস শনাক্ত করনে প্রয়োজনীয় পদক্ষেপ নেয়া দরকার. দেশের জনগণ যাতে সুস্থ ও রোগ ব্যধিমুক্ত অবস্থায় জীবন যাপন করতে পারে. সেজন্য সরকারকে সতর্ক ভূমিকা পালন করতে হবে. করোনা ভাইরাস প্রতিরোধের উপকরণ সমূহ সহজলভ্য করার জন্য সরকারকে ব্যবস্থা গ্রহণ করতে হবে.",Hate Speech,Neutral,Sexual Aggression,
both_wrong_different_label,ঝানুটাহ,Sexual Aggression,Neutral,Harassment,
both_wrong_different_label,সাফার বিশসাস অবিশসাস এ পরকালের কিচ্ছু আসে যায় না।গরুকে যতই বলা হোক যে দেয়ালের ও পাশে ঘাস আছে সে বুজবে না।পরকাল আসবেই।,Neutral,Harassment,Sexual Aggression,
both_wrong_different_label,আজ যদি হযরত ওমর রাদিয়াল্লাহু আনহু থাকতো তাহলে ওর কল্লা নামায় দিত,Violent Extremism,Neutral,Hate Speech,
both_wrong_different_label,জীবনটা এক চোদনময়,Harassment,Neutral,Sexual Aggression,
both_wrong_different_label,মাঠে আসো খেলা হবে,Harassment,Neutral,Violent Extremism,
both_wrong_different_label,দুইদিন পর নিজের হুগায় নিজেই থাব্রাইব,Sexual Aggression,Neutral,Harassment,
both_wrong_different_label,"বর্তমানে কে বাবা আর কে মা সেটা প্রমাণ করা যায়। সাফা কবির বিশ্বাস করুক আর নাই করুক ওটা তার ব্যক্তিগত ব্যাপার, এতে সৃষ্টিকর্তার কিছু আসে যায় না",Neutral,Hate Speech,Sexual Aggression,
both_wrong_different_label,"পরকাল বিশ্বাস করেন আর নাই করেন সেটা আমাদের দেখার বিষয় না তবে মানুষের মধ্যে বিভ্রান্তি ছড়াবেন না।তবে মনে রাখবেন ইসলাম সর্ব উত্তম জীবন ব্যাবস্তা..?একটু অনুরোধ রইল সব ধর্ম সম্পর্কে একটু জানুন দেখবেন ইসলাম সম্পর্কে কোন সন্দেহের অবকাশ থাকবেনা..?তবে কষ্ট লাগে তখন,যখন নিজেকে মুসলিম দাবী করে ইসলাম সম্পর্কে কিছুই যানেনা। ইসলামের মৌলিক বিষয় কিছুই জানেনা তখন বুক ফেটে কান্না আসে..???",Sexual Aggression,Hate Speech,Neutral,
both_wrong_different_label,কিরে ভাই তোর কি মরার ভয় নাই..?,Violent Extremism,Neutral,Harassment,
both_wrong_different_label,"আজকে প্রিয়া সাহার বক্তব্যে যাদের পটু জ্বলে গেছে, তার বিরুদ্ধে মামলা করার কথা ভাবছেন! বর্হিবিশ্বে দেশের ভাবমূর্তি ক্ষুন্ন হওয়ার কথা বলছেন! হেফাজতের লাখ লাখ হেফাজতির গুম-খুনের প্রোপাগান্ডার বেলায় দেশের ভাবমূর্তি কোথায় ছিল? তাদের বিরুদ্ধে কয়টি মামলা করেছেন?",Hate Speech,Harassment,Neutral,
both_wrong_different_label,আপনার এখন ছিক্স প্যাক দরকার,Neutral,Sexual Aggression,Harassment,
both_wrong_different_label,ওরে ভুদাই ইমতিয়াজ সালা তোরে না কত বার করে মামা করেছি পরিকে নিয়ে কোন প্রকার আজে বাজে কথা বলবি না।,Harassment,Violent Extremism,Sexual Aggression,
both_wrong_different_label,"ওর জরায়ুতে নুন, মরিচ দেয়া লাগবে,তাইলে বুজবেনে।",Harassment,Violent Extremism,Sexual Aggression,
both_wrong_different_label,আসসালামু আলাইকুম যারা মানুষের সমালোচনা করে তাদেরকে ঘৃণা করি কারণ বাংলাদেশের চলচ্চিত্রের যারা নিয়ে ব্যবসা করে তারাই দেশের শত্রু এবং জাহিদ খান বলেছে হিরো আলম কে সিনেমা হারে হিরো আলমের যতটুক সম্মান আছে জাহিদ খান আরো 100 বছর চলচ্চিত্র থাকলেও এতোটুকু সম্মান পাবনা কারণ হিরো আলমকে ও বলছে হিরো আলম কে চিনেনা ও ও বলেছে মিউজিক করে সে নাকি হিরো আলম হিরো বলতে বাংলাদেশ রাজ্জাক আলমগীর ফারুক তারাই বাংলাদেশের হিরো আর কি বলব বাংলাদেশের আরেকজন হিরো আলম একটা ছবি করেছে মার ছক্কা মুভি আরেকটা মুভি সাহসে হিরো আলম এই মুভিটা মুক্তি পাবে 27 তারিখ,Sexual Aggression,Harassment,Neutral,
